day	num_rats	Status
2017-11-21	25	Closed
2017-11-22	13	Closed
2017-11-22	11	Pending
2018-06-14	25	Closed
2017-11-23	1	Pending
2017-11-24	23	Closed
2017-11-25	26	Closed
2017-11-26	22	Closed
2017-11-26	10	Pending
2017-10-07	39	Closed
2017-11-30	27	Closed
2017-11-30	16	Pending
2017-10-08	34	Closed
2017-10-08	12	Pending
2017-03-21	35	Closed
2017-10-09	42	Closed
2017-10-09	13	Pending
2017-12-01	4	Assigned
2017-10-10	4	Assigned
2017-12-03	21	Closed
2017-10-01	27	Closed
2017-10-02	67	Closed
2017-07-13	57	Closed
2018-06-09	31	Closed
2017-12-04	44	Closed
2018-06-09	10	Pending
2017-10-02	19	Pending
2018-06-10	13	Assigned
2017-12-04	7	Assigned
2017-12-04	10	Pending
2017-10-03	12	Pending
2018-06-10	26	Closed
2017-12-05	25	Closed
2017-12-07	23	Closed
2017-06-09	51	Closed
2017-12-06	26	Closed
2017-10-04	71	Closed
2017-03-22	24	Pending
2017-11-28	36	Closed
2017-10-05	51	Closed
2018-05-31	41	Closed
2018-04-25	34	Closed
2018-04-25	16	Pending
2017-11-29	27	Closed
2018-06-01	46	Closed
2017-03-27	33	Closed
2017-08-25	43	Closed
2017-10-19	51	Closed
2017-10-20	44	Closed
2017-10-11	17	Pending
2018-06-11	37	Closed
2018-06-12	20	Closed
2018-06-11	17	Assigned
2018-06-11	22	Pending
2017-12-15	5	Pending
2017-10-13	46	Closed
2014-10-22	32	Closed
2014-10-21	43	Closed
2017-12-08	5	Pending
2017-12-23	11	Closed
2017-10-21	30	Closed
2018-05-25	6	Assigned
2018-05-30	51	Closed
2017-10-22	15	Pending
2018-06-03	30	Closed
2017-12-24	13	Closed
2018-06-07	22	Assigned
2017-12-26	21	Closed
2017-10-25	23	Pending
2017-12-27	5	Pending
2017-12-27	25	Closed
2017-05-31	65	Closed
2017-05-31	17	Pending
2017-05-31	7	Assigned
2017-06-01	68	Closed
2010-01-13	24	Pending
2010-01-14	15	Pending
